Array Length(n)   Exchanges     Comparisons   Elapsed Time(ns)
64	              1065	        1065	        18302
128	              5273	        5273	        39689
256	              21860	        21860	        51099
512	              87927	        87927	        77970
1024	          350281	    350281	        176651
2048	          1401604	    1401604	        556044
4096	          5600656	    5600656	        2052849
8192	          22405493	    22405493	    8701189
16384	          89512956	    89512956	    33005372
32768	          357924452	    357924452	    129517344
65536	          1432058611    1432058611	    516496941
